gps_point;street;postal_code
42.643305566,2.758581736;domaine de flos;66300
44.216454446,5.028714495;ROUTE DE SABLET;84110
43.857188035,4.634014417;1402,CHEMIN DU ROUDADOU;30300
43.711387769,3.502633707;2 Place Michel Teisserenc;34150
43.688923031,3.809875247;Route de Prades;34980
43.601959029,2.687226642;Lieu Dit Besses Basses;34330
43.664963985,2.032135183;Varagnes;81220
42.669875609,2.824053857;Route de Thuir;66350
42.767942954,2.707112915;1 avenue Jean Lurçat;66310
42.958549152,2.769716259;13 Av des hautes Corbières;11360
43.032446687,2.30040612;"Domaine du Grès Vaillant
Chemin du Casse";11300
44.055389135,4.692074427;542, rue du Baron Le Roy;30126
43.271358589,2.510108547;Domaine Prat Majou;11800
43.005489723,0.591553866;1 cap de la vielle;65370
44.022262753,1.364081417;20 PLACE PRAX PARIS;82000
43.271358589,2.510108547;Domaine De Gibalaux;11800
43.568638492,3.779558168;Chemin du Tourtourel;34570
43.468872961,3.33962295;DOMAINE DE BRESCOU;34290
43.99512676,0.228653562;Lieu Dit Magnaut;32250
43.793223784,3.629618066;Route de Saint Jean de Buèges;34380
43.596037953,1.4320949010000001;183 avenue des Etats Unis;31200
43.429168764,3.578401617;12 Avenue de Villeveyrac;34140
43.635198023,3.966850731;CHEMIN DE CALAGE;34130
43.44813198,3.749580097;Route de balaruc la peyrade;34110
43.61335437,3.8692640540000003;28 rue des écoles laïques;34000
43.615625896,2.238251917;"La Borie Grande
Campans";81100
42.90627739,2.727780393;15 chemin des rebouls;11350
44.048712623,1.124069056;"1 rue de l'Occitanie
ZI de Barres 3";82100
43.536112304,5.398630399;3 rue du 4 Septembre;13100
43.505359494,3.237256728;4 Route de Magalas;34480
43.657805591,4.407426996;Château De La Pinède;30800
43.599472127,3.437541643;8 avenue Jean Jaurès;34800
43.049972342,2.2391332520000002;35 Avenue De La Catalogne Zi La Deveze;11300
43.08930617,2.783337716;Chateau Aiguilloux;11200
43.43775813,3.258448497;123 rue de la chapelle;34290
43.844657847,4.3475910110000004;Biscuits Arena 890 Route De Rouquairol Nimes;30900
43.49412169,2.355496678;"64 RUE DE LA MECANIQUE, ZI de la
ZI de la rougearie";81200
42.696441301,2.898977872;38 Avenue De Grande Bretagne;66000
43.93125665,2.002874242;lieu dit la barthe;81150
43.083395167,2.714037602;FONTROUGE;11220
43.234659038,0.066150886;4, CHEMIN DE BASTILLAC;65000
43.750996856,1.396068676;31 Impasse de l'industrie;31790
43.214898429,3.175618889;route de Saint Pierre;11560
43.457899324,3.135240891;Chateau Coujan;34490
43.940364055,0.6505389850000001;"Domaine d'Arton
Route de Miradoux";32700
43.090072325,2.949143672;10 RUE DU REC DE L'AIRE;11440
44.150362673,4.551555771;ROUTE D'ALES - LIEU DIT BASTET;30200
43.827500493,3.991218963;CHEMIN DU CHATEAU D'EAU;30260
43.801874888,3.862306734;106 rue des micocouliers;34270
42.854149395,2.715710913;38 avenue du roussillon;11350
43.61335437,3.8692640540000003;31 rue Proudhon;34090
43.209415595,2.343422135;40 rue auguste comte;11000
43.148382232,2.869838571;14 rue Jean-Jacques Rousseau;11200
43.625626772,4.305879996;4 rue Saint Sebastien - GALLICIAN;30600
43.14137015,2.3392757299999998;Domaine saint martin;11250
43.450522306,3.625995737;8 rue du Grenache;34140
42.596222631,2.242230373;La Bastide;66360
43.48116613,3.217232819;Domaine St-Martin d'Agel;34480
43.421209287,2.931850471;ROUTE DE SAINT PONS;34360
43.618049945,4.063879251;la gastade;34130
43.728552884,3.924475315;1100 ROUTE DE SAINT MATHIEU DE TREVIERS;34820
43.61335437,3.8692640540000003;371 avenue du marché gare;34070
